4.1690717e+01 2.3948920e+02      
4.0567422e+01 2.3972046e+02      
3.9692638e+01 2.3989675e+02      
3.9067204e+01 2.4002075e+02      
3.8691711e+01 2.4009438e+02      
3.8566508e+01 2.4011879e+02      
3.8691711e+01 2.4009438e+02      
3.9067204e+01 2.4002075e+02      
3.9692638e+01 2.3989675e+02      
4.0567422e+01 2.3972046e+02      
4.1690717e+01 2.3948920e+02      
4.3061424e+01 2.3919952e+02      
4.4678163e+01 2.3884725e+02      
4.6539253e+01 2.3842746e+02      
4.8642693e+01 2.3793451e+02      
5.0986130e+01 2.3736206e+02      
5.3566832e+01 2.3670306e+02      
5.6381652e+01 2.3594981e+02      
5.9426994e+01 2.3509397e+02      
6.2698775e+01 2.3412658e+02      
7.1093999e+01 2.3141266e+02      
7.0021894e+01 2.3177808e+02      
6.9186520e+01 2.3205896e+02      
6.8589020e+01 2.3225779e+02      
6.8230199e+01 2.3237637e+02      
6.8110539e+01 2.3241577e+02      
6.8230199e+01 2.3237637e+02      
6.8589020e+01 2.3225779e+02      
6.9186520e+01 2.3205896e+02      
7.0021894e+01 2.3177808e+02      
7.1093999e+01 2.3141266e+02      
7.2401346e+01 2.3095947e+02      
7.3942087e+01 2.3041463e+02      
7.5713990e+01 2.2977354e+02      
7.7714424e+01 2.2903098e+02      
7.9940333e+01 2.2818106e+02      
8.2388205e+01 2.2721727e+02      
8.5054051e+01 2.2613249e+02      
8.7933363e+01 2.2491906e+02      
9.1021091e+01 2.2356876e+02      
9.9139851e+01 2.1976897e+02      
9.8134386e+01 2.2025959e+02      
9.7350479e+01 2.2063811e+02      
9.6789543e+01 2.2090684e+02      
9.6452583e+01 2.2106741e+02      
9.6340196e+01 2.2112083e+02      
9.6452583e+01 2.2106741e+02      
9.6789543e+01 2.2090684e+02      
9.7350479e+01 2.2063811e+02      
9.8134386e+01 2.2025959e+02      
9.9139851e+01 2.1976897e+02      
1.0036504e+02 2.1916332e+02      
1.0180767e+02 2.1843907e+02      
1.0346502e+02 2.1759205e+02      
1.0533390e+02 2.1661748e+02      
1.0741062e+02 2.1551001e+02      
1.0969099e+02 2.1426373e+02      
1.1217024e+02 2.1287223e+02      
1.1484309e+02 2.1132858e+02      
1.1770362e+02 2.0962539e+02      
1.2540083e+02 2.0476922e+02      
1.2447606e+02 2.0537435e+02      
1.2375459e+02 2.0584225e+02      
1.2323807e+02 2.0617499e+02      
1.2292770e+02 2.0637404e+02      
1.2282416e+02 2.0644029e+02      
1.2292770e+02 2.0637404e+02      
1.2323807e+02 2.0617499e+02      
1.2375459e+02 2.0584225e+02      
1.2447606e+02 2.0537435e+02      
1.2540083e+02 2.0476922e+02      
1.2652677e+02 2.0402423e+02      
1.2785122e+02 2.0313619e+02      
1.2937104e+02 2.0210137e+02      
1.3108252e+02 2.0091552e+02      
1.3298145e+02 1.9957388e+02      
1.3506301e+02 1.9807122e+02      
1.3732182e+02 1.9640187e+02      
1.3975188e+02 1.9455974e+02      
1.4234654e+02 1.9253837e+02      
1.4948072e+02 1.8667507e+02      
1.4864910e+02 1.8738253e+02      
1.4799981e+02 1.8793037e+02      
1.4753471e+02 1.8832039e+02      
1.4725512e+02 1.8855388e+02      
1.4716184e+02 1.8863162e+02      
1.4725512e+02 1.8855388e+02      
1.4753471e+02 1.8832039e+02      
1.4799981e+02 1.8793037e+02      
1.4864910e+02 1.8738253e+02      
1.4948072e+02 1.8667507e+02      
1.5049226e+02 1.8580568e+02      
1.5168077e+02 1.8477160e+02      
1.5304271e+02 1.8356958e+02      
1.5457400e+02 1.8219592e+02      
1.5626992e+02 1.8064652e+02      
1.5812519e+02 1.7891688e+02      
1.6013386e+02 1.7700212e+02      
1.6228936e+02 1.7489706e+02      
1.6458446e+02 1.7259621e+02      
1.7102040e+02 1.6579428e+02      
1.7029267e+02 1.6659060e+02      
1.6972396e+02 1.6720793e+02      
1.6931630e+02 1.6764777e+02      
1.6907112e+02 1.6791124e+02      
1.6898930e+02 1.6799899e+02      
1.6907112e+02 1.6791124e+02      
1.6931630e+02 1.6764777e+02      
1.6972396e+02 1.6720793e+02      
1.7029267e+02 1.6659060e+02      
1.7102040e+02 1.6579428e+02      
1.7190452e+02 1.6481701e+02      
1.7294182e+02 1.6365645e+02      
1.7412848e+02 1.6230989e+02      
1.7546006e+02 1.6077422e+02      
1.7693150e+02 1.5904603e+02      
1.7853708e+02 1.5712157e+02      
1.8027044e+02 1.5499683e+02      
1.8212457e+02 1.5266756e+02      
1.8409175e+02 1.5012930e+02      
1.8970317e+02 1.4247560e+02      
1.8908822e+02 1.4334627e+02      
1.8860705e+02 1.4402181e+02      
1.8826182e+02 1.4450344e+02      
1.8805407e+02 1.4479207e+02      
1.8798471e+02 1.4488821e+02      
1.8805407e+02 1.4479207e+02      
1.8826182e+02 1.4450344e+02      
1.8860705e+02 1.4402181e+02      
1.8908822e+02 1.4334627e+02      
1.8970317e+02 1.4247560e+02      
1.9044912e+02 1.4140822e+02      
1.9132265e+02 1.4014224e+02      
1.9231971e+02 1.3867548e+02      
1.9343560e+02 1.3700548e+02      
1.9466499e+02 1.3512951e+02      
1.9600187e+02 1.3304464e+02      
1.9743956e+02 1.3074773e+02      
1.9897072e+02 1.2823550e+02      
2.0058729e+02 1.2550453e+02      
2.0525932e+02 1.1710302e+02      
2.0476408e+02 1.1803273e+02      
2.0437590e+02 1.1875458e+02      
2.0409702e+02 1.1926950e+02      
2.0392905e+02 1.1957818e+02      
2.0387295e+02 1.1968103e+02      
2.0392905e+02 1.1957818e+02      
2.0409702e+02 1.1926950e+02      
2.0437590e+02 1.1875458e+02      
2.0476408e+02 1.1803273e+02      
2.0525932e+02 1.1710302e+02      
2.0585871e+02 1.1596427e+02      
2.0655871e+02 1.1461504e+02      
2.0735510e+02 1.1305372e+02      
2.0824302e+02 1.1127847e+02      
2.0921694e+02 1.0928730e+02      
